group,link
https://rasp.sstu.ru/rasp/group/244,б-БИСТ-11
https://rasp.sstu.ru/rasp/group/36,б-БИСТ-21
https://rasp.sstu.ru/rasp/group/245,б-БИСТ-31
https://rasp.sstu.ru/rasp/group/130,б-КТОП-11
https://rasp.sstu.ru/rasp/group/247,б-КТОП-21
https://rasp.sstu.ru/rasp/group/248,б-КТОП-31
https://rasp.sstu.ru/rasp/group/249,б-ЛАЗР-11
https://rasp.sstu.ru/rasp/group/250,б-ЛАЗР-21
https://rasp.sstu.ru/rasp/group/251,б-ЛАЗР-31
https://rasp.sstu.ru/rasp/group/40,б-МНСТ-11
https://rasp.sstu.ru/rasp/group/252,б-МНСТ-21
https://rasp.sstu.ru/rasp/group/328,б-МНСТ-31
https://rasp.sstu.ru/rasp/group/253,б-МХРТ-11
https://rasp.sstu.ru/rasp/group/133,б-МХРТ-21
https://rasp.sstu.ru/rasp/group/134,б-МХРТ-31
https://rasp.sstu.ru/rasp/group/260,б-ТМОБ-11
https://rasp.sstu.ru/rasp/group/261,б-ТМОБ-21
https://rasp.sstu.ru/rasp/group/331,б-ТМОБ-31
https://rasp.sstu.ru/rasp/group/194,б-ЭТТК-11
https://rasp.sstu.ru/rasp/group/207,б1-АТПП-31
https://rasp.sstu.ru/rasp/group/231,б2-АТПП-11
https://rasp.sstu.ru/rasp/group/232,б2-АТПП-21
https://rasp.sstu.ru/rasp/group/230,б1-ТТПР-11
https://rasp.sstu.ru/rasp/group/233,б2-МВТМ-11
https://rasp.sstu.ru/rasp/group/234,б2-МВТМ-21
https://rasp.sstu.ru/rasp/group/235,б2-МВТМ-31
https://rasp.sstu.ru/rasp/group/414,м-АТПП-11
https://rasp.sstu.ru/rasp/group/158,м-БИСТ-11
https://rasp.sstu.ru/rasp/group/397,м-КТОП-11
https://rasp.sstu.ru/rasp/group/398,м-МВТМ-11
https://rasp.sstu.ru/rasp/group/387,м-МНСТ-11
https://rasp.sstu.ru/rasp/group/403,м-ТМОБ-11
https://rasp.sstu.ru/rasp/group/410,м1-МХРТ-11
https://rasp.sstu.ru/rasp/group/278,с-НТС-11
https://rasp.sstu.ru/rasp/group/279,с-НТС-21
